,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Ticker
0,8,504,542,207.93524173736574,182.6999969482422,-201.88195831298844,-0.12136107654611594,2020-01-03,2020-02-28,56 days,META
1,57,504,552,74.54750471878052,66.22250366210938,-474.525060230255,-0.11167377215476204,2020-01-03,2020-03-13,70 days,AAPL
2,2202,504,554,5.8980713074207305,5.022749900817871,-1927.4577373394964,-0.14840807460255068,2020-01-03,2020-03-17,74 days,NVDA
3,40,504,554,29.469450127601625,29.333999633789062,-5.418019752502516,-0.004596302042490397,2020-01-03,2020-03-17,74 days,TSLA
4,125,504,755,48.198103775024414,92.0999984741211,5487.736837387085,0.9108635249224479,2020-01-03,2020-12-31,363 days,AMD
5,9,508,542,299.59491275024413,285.25,-129.1042147521972,-0.04788102914885839,2020-01-09,2020-02-28,50 days,COST
6,34,513,522,92.31196285629272,85.44999694824219,-233.30684087371822,-0.07433452497086368,2020-01-16,2020-01-30,14 days,SBUX
7,14,518,552,349.6796014251709,330.510009765625,-268.3742832336428,-0.05482044586363466,2020-01-24,2020-03-13,49 days,NFLX
8,57,524,542,100.88185377502442,90.73149871826172,-578.5702382354742,-0.1006162622605935,2020-02-03,2020-02-28,25 days,AMZN
9,9,544,551,310.22200469970704,280.44000244140625,-268.03802032470713,-0.09600222359187438,2020-03-03,2020-03-12,9 days,COST
10,62,553,554,60.69920548439026,61.877498626708984,73.05417482376077,0.019412002725830435,2020-03-16,2020-03-17,1 days,AAPL
11,2204,555,556,5.020008807420731,5.048999786376953,63.89611761951363,0.005775085277413661,2020-03-18,2020-03-19,1 days,NVDA
12,8,555,558,299.043,292.010009765625,-56.26392187500005,-0.02351832423556144,2020-03-18,2020-03-23,5 days,COST
13,2025,557,755,5.494162404298783,13.136500358581543,15475.734357422589,1.3909923646056015,2020-03-20,2020-12-31,286 days,NVDA
14,12,559,755,371.2849552001953,525.530029296875,1850.940889160156,0.41543583152598074,2020-03-24,2020-12-31,282 days,NFLX
15,54,574,579,70.84709846878052,68.40249633789062,-132.0085150680541,-0.0345053246177347,2020-04-15,2020-04-22,7 days,AAPL
16,44,575,755,117.71055306243898,163.75,2025.735665252685,0.3911242088306188,2020-04-16,2020-12-31,259 days,AMZN
17,7,589,755,208.84841510009767,272.0,442.0610942993163,0.30238000546776855,2020-05-06,2020-12-31,239 days,META
18,48,591,755,76.67743867492676,134.0800018310547,2755.32303149414,0.7486238996517023,2020-05-08,2020-12-31,237 days,AAPL
19,17,614,755,66.24438285827637,233.3300018310547,2840.4555225372314,2.522260933885403,2020-06-11,2020-12-31,203 days,TSLA
20,7,637,755,329.24835612487794,374.989990234375,320.1914387664794,0.13892744871336005,2020-07-15,2020-12-31,169 days,COST
21,35,669,755,84.0832659187317,106.0,767.0856928443906,0.2606551237252286,2020-08-28,2020-12-31,125 days,SBUX
22,14,730,755,220.1979976501465,216.24000549316406,-55.41189019775419,-0.017974696406054314,2020-11-24,2020-12-31,37 days,BA
